layer,LU,FI,EE,V,OP,BS
1203,RESIDENTIAL,19,20,B,1295.67396,4
1204,RESIDENTIAL,9,64,B,0,5
1205,RESIDENTIAL,7,54,B,0,4
1206,RESIDENTIAL,0,6,B,0,0
1207,RESERVE,0,0,F,0,0
1210,TRANSPORTATION,0,6,B,0,3
1211,TRANSPORTATION,0,0,F,0,0
1212,BUSINESS,0,0,B,0,0
1213,RESERVE,0,0,B,0,0
1214,RESERVE,0,0,G,0,0
1215,RESERVE,0,0,B,0,0
1216,RESERVE,0,0,B,0,0
1217,COMMERCIAL,0,17,B,745.644629,0
1218,RESIDENTIAL,0,8,G,550.088194,0
1219,RESIDENTIAL,1,1,F,1217.090065,0
1220,COMMERCIAL,0,0,D,885.269449,3
1221,RESIDENTIAL,0,0,D,0,0
1222,GREENERY,0,0,G,0,0
1225,RESERVE,0,0,G,0,0
1226,RESERVE,0,0,G,0,0
1227,RESERVE,0,0,D,0,0
1228,RESERVE,0,0,D,0,0
1229,RESERVE,0,0,D,0,0
1230,RESERVE,0,0,D,0,0
1231,RESERVE,0,0,D,0,0
1232,RESERVE,0,0,D,0,0
1233,RESERVE,0,0,D,0,0
1234,GREENERY,0,0,D,0,0
1235,RESERVE,0,0,D,0,0
1236,GREENERY,0,0,D,0,0
1237,GREENERY,0,0,D,0,0
1238,RESERVE,0,0,G,0,0
1239,RESERVE,0,0,G,0,0
1240,RESERVE,0,0,G,0,0
1242,RESERVE,0,0,G,0,0
1243,RESERVE,0,0,F,0,0
1244,RESERVE,0,0,F,0,0
1245,RESERVE,0,0,D,0,0
1246,RESERVE,0,0,D,0,0
1247,RESERVE,0,0,D,0,0
1248,RESERVE,0,0,D,0,0
1263,RESERVE,0,0,G,0,0
1264,RESERVE,0,0,D,0,0
1265,RESERVE,0,0,D,0,0
1266,RESERVE,0,0,D,0,0
1267,RESERVE,0,0,D,0,0
1268,RESERVE,0,0,D,0,0
1269,RESERVE,0,0,D,0,0
1270,RESERVE,0,0,D,0,2
1271,RESERVE,0,0,D,0,0
1272,RESERVE,0,0,D,0,0
1273,RESERVE,0,0,G,0,0
1277,RESERVE,0,0,G,0,0
1278,RESERVE,0,0,D,0,0
1279,BUSINESS,0,1,B,0,0
1280,BUSINESS,0,3,F,260.428079,0
1281,BUSINESS,0,4,B,755.143156,4
1282,RESERVE,0,4,A,68.452315,2
1283,RESERVE,0,0,D,0,4
1284,RESERVE,0,0,D,0,4
1285,RESERVE,0,1,D,33.979157,1
1286,RESERVE,0,0,D,450.797888,2
1287,RESERVE,0,0,D,0,2
1288,RESERVE,0,0,D,0,2
1289,RESERVE,0,0,D,0,2
1290,RESERVE,0,0,D,0,0
1291,RESERVE,0,0,D,0,0
1292,RESERVE,0,0,D,0,0
1293,RESERVE,0,0,D,296.818909,2
1294,RESERVE,0,0,B,0,0
1295,RESERVE,0,0,E,0,0
1296,RESERVE,0,0,D,0,0
1297,RESERVE,0,0,D,0,2
1298,RESERVE,0,8,F,392.437241,0
1299,RESIDENTIAL,9,0,B,872.134162,2
1300,RESERVE,0,0,B,0,2
1301,RESIDENTIAL,0,0,D,0,0
1302,RESERVE,0,13,D,0,0
1305,GREENERY,0,0,F,117.113952,0
1306,TRANSPORTATION,0,0,F,156.832404,0
1307,TRANSPORTATION,0,2,F,0,0
1308,BUSINESS,0,1,F,0,1
1309,RESERVE,0,0,F,0,0
1310,RESERVE,0,0,D,0,0
1311,RESERVE,0,0,C,0,0
1312,RESERVE,0,0,F,42.907382,0
1314,RESIDENTIAL,0,13,G,1257.825493,0
1315,TRANSPORTATION,0,10,D,675.395671,0
1316,COMMERCIAL,1,0,D,572.845854,1
1317,BUSINESS,0,0,C,0,0
1318,RESIDENTIAL,0,0,G,0,0
1319,GREENERY,0,0,G,0,0
1320,GREENERY,0,0,G,0,0
1323,RESERVE,0,0,D,0,0
1324,RESERVE,0,0,D,0,0
1325,RESERVE,0,0,G,0,0
1326,RESERVE,0,0,D,0,0
1327,RESERVE,0,0,D,0,0
1328,RESERVE,0,0,D,0,0
1329,RESERVE,0,0,D,39.024145,0
1330,RESERVE,0,0,D,0,0
1331,RESERVE,0,0,D,0,0
1332,RESERVE,0,0,D,0,0
1333,RESERVE,0,0,D,0,0
1334,RESERVE,0,0,D,0,0
1335,RESERVE,0,0,G,0,0
1336,RESERVE,0,0,G,0,0
1337,RESERVE,0,0,G,0,0
1339,RESERVE,0,0,F,0,0
1340,RESERVE,0,0,C,0,0
1341,RESERVE,0,0,C,0,0
1342,RESERVE,0,0,F,0,0
1343,RESERVE,0,0,D,0,0
1344,RESERVE,0,0,D,0,0
1357,RESERVE,0,0,G,0,0
1358,RESERVE,0,0,G,0,0
1359,RESERVE,0,0,G,0,0
1362,RESERVE,0,0,G,0,0
1363,RESERVE,0,0,D,0,0
1364,RESERVE,0,0,D,0,0
1365,RESERVE,0,0,D,0,0
1366,RESERVE,0,0,D,0,2
1367,RESERVE,0,0,D,0,0
1368,RESERVE,0,0,D,0,0
1369,RESERVE,0,0,D,0,0
1370,RESERVE,0,0,D,0,0
1371,RESERVE,0,0,D,0,0
1373,RESERVE,0,0,D,0,0
1374,RESERVE,0,0,B,0,0
1375,RESERVE,0,1,D,0,0
1376,BUSINESS,0,0,B,246.599767,0
1377,BUSINESS,0,13,B,1010.492796,0
1378,BUSINESS,3,11,B,146.804528,8
1379,BUSINESS,2,37,B,0,0
1380,COMMERCIAL,0,0,D,0,0
1381,RESERVE,0,0,D,0,0
